#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
bench_itoa_write::bench_i16_0	7.0	0.0	7.0	0.0	
bench_itoa_write::bench_i16_min	8.0	0.0	8.0	0.0	
bench_itoa_write::bench_u128_0	8.0	0.0	8.0	0.0	
bench_itoa_write::bench_u128_max	221.3571428571429	0.8401085125893977	221.5238095238095	0.49943278484292924	
bench_itoa_write::bench_u64_0	4.0	0.0	4.0	0.0	
bench_itoa_write::bench_u64_half	10.0	0.0	10.0	0.0	
bench_itoa_write::bench_u64_max	15.0	0.0	15.0	0.0	
bench_itoap_ptr_write::bench_i16_0	2.0	0.0	2.0	0.0	
bench_itoap_ptr_write::bench_i16_min	3.0	0.0	3.0	0.0	
bench_itoap_ptr_write::bench_u128_0	2.0	0.0	2.0	0.0	
bench_itoap_ptr_write::bench_u128_max	46.0	0.0	47.11904761904761	0.39050522540135063	
bench_itoap_ptr_write::bench_u64_0	2.0	0.0	2.0	0.0	
bench_itoap_ptr_write::bench_u64_half	6.0	0.0	6.0	0.0	
bench_itoap_ptr_write::bench_u64_max	10.0	0.0	10.0	0.0	
bench_itoap_write::bench_i16_0	2.0	0.0	2.0	0.0	
bench_itoap_write::bench_i16_min	3.0	0.0	3.0	0.0	
bench_itoap_write::bench_u128_0	4.0	0.0	4.0	0.0	
bench_itoap_write::bench_u128_max	48.0	0.0	49.785714285714285	0.6738557951469003	
bench_itoap_write::bench_u64_0	1.0	0.0	1.0	0.0	
bench_itoap_write::bench_u64_half	6.0	0.0	6.0	0.0	
bench_itoap_write::bench_u64_max	10.0	0.0	10.0	0.0	
bench_std_fmt::bench_i16_0	30.261904761904756	0.6568149630539868	30.19047619047619	0.7315376902732007	
bench_std_fmt::bench_i16_min	42.0	0.0	42.261904761904766	1.6770087288514601	
bench_std_fmt::bench_u128_0	30.309523809523807	0.771149273366745	30.35714285714286	1.019370220409888	
bench_std_fmt::bench_u128_max	1571.4523809523812	2.140342439806581	1567.3095238095236	1.3537970453170949	
bench_std_fmt::bench_u64_0	30.238095238095234	0.6098213559459856	30.214285714285715	0.9645061476442427	
bench_std_fmt::bench_u64_half	37.52380952380952	0.49943278484292936	37.16666666666666	0.372677996249965	
bench_std_fmt::bench_u64_max	44.3095238095238	1.981919406824453	44.0	0.0	
