#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
benchmarks_208_0_field_50_parse_lex	7365.380952380953	4431.6944837987685	7386.690476190475	4446.292294271686	
benchmarks_208_1_pipe_50_parse_lex	7526.0952380952385	4525.065675974447	7524.119047619049	4531.968820566793	
benchmarks_208_2_index_50_parse_lex	7524.142857142858	4523.563016090769	7617.119047619049	4588.920804774727	
benchmarks_208_3_long_raw_string_literal_parse_lex	1139.5	684.4230538684875	1122.3571428571427	674.4436797916371	
benchmarks_208_4_deep_projection_104_parse_lex	23346.047619047626	14034.648629039117	23456.214285714283	14087.487720087121	
benchmarks_208_5_filter_projection_parse_lex	743.2857142857142	446.58739270128075	755.9761904761906	454.32354152683695	
benchmarks_209_0_deep_ands_full	7382.119047619048	4436.881268480098	7319.309523809526	4399.684742429444	
benchmarks_209_0_deep_ands_interpret	3756.8571428571427	2257.8628809375573	3786.6904761904757	2275.125454291793	
benchmarks_209_0_deep_ands_parse_lex	3545.5714285714284	2132.3374737692943	3558.119047619048	2146.9536469188474	
benchmarks_209_1_deep_ors_full	6841.809523809524	4113.007741058183	6758.809523809524	4062.1573217412392	
benchmarks_209_1_deep_ors_interpret	3177.6904761904766	1910.0244512034421	3173.523809523809	1906.574692729586	
benchmarks_209_1_deep_ors_parse_lex	3550.333333333333	2135.7998464572897	3566.4285714285716	2152.337545917142	
benchmarks_209_2_lots_of_summing_full	6369.857142857143	3827.3828592159953	6357.04761904762	3818.535090296757	
benchmarks_209_2_lots_of_summing_interpret	3819.809523809524	2294.293378488454	3848.7857142857138	2312.237563339833	
benchmarks_209_2_lots_of_summing_parse_lex	2525.404761904762	1527.130721624611	2510.261904761904	1519.392329338777	
benchmarks_209_3_lots_of_multi_list_full	6195.023809523811	3724.7889968240725	6191.904761904764	3719.8193876375217	
benchmarks_209_3_lots_of_multi_list_interpret	3771.1190476190473	2265.555962487133	3783.142857142857	2273.182231098579	
benchmarks_209_3_lots_of_multi_list_parse_lex	2413.738095238095	1451.8957731765045	2407.833333333333	1449.975663452037	
benchmarks_210_0_simple_field_full	2806.2142857142862	1685.938929240692	2790.9285714285716	1677.1597361647591	
benchmarks_210_0_simple_field_interpret	2680.5476190476193	1612.308360002027	2666.238095238095	1602.2613604278745	
benchmarks_210_0_simple_field_parse_lex	116.11904761904759	69.87206076310792	117.42857142857139	70.59513771774763	
benchmarks_210_1_simple_subexpression_full	2942.0	1768.7214241339636	2937.0	1765.5431512845043	
benchmarks_210_1_simple_subexpression_interpret	2687.7619047619046	1616.4341532775427	2680.309523809524	1610.9849322119867	
benchmarks_210_1_simple_subexpression_parse_lex	233.76190476190473	140.57853414742436	236.80952380952382	142.33080817910118	
benchmarks_210_2_deep_field_selection_full	6834.880952380951	4133.864508125774	6764.857142857141	4142.722359876463	
benchmarks_210_2_deep_field_selection_interpret	3503.928571428572	2110.349772327949	3465.7380952380945	2095.1436825319443	
benchmarks_210_2_deep_field_selection_parse_lex	3037.8809523809514	1835.9042822126407	3021.071428571429	1838.44942938928	
benchmarks_210_3_simple_or_full	3081.428571428571	1862.637417658054	3088.452380952381	1858.2240779633933	
benchmarks_210_3_simple_or_interpret	2653.7619047619046	1597.825111258363	2676.214285714285	1609.211290630027	
benchmarks_210_3_simple_or_parse_lex	312.52380952380963	187.83633175811508	313.2380952380952	188.25335126642116	
