#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
create_1000_subscribers	409383.35714285716	88609.11002149283	405795.33333333343	85793.96735720344	
create_100_subscribers	44153.00000000001	7682.775344886767	44426.07142857142	8779.451990688412	
create_10_subscribers	4423.642857142858	561.1204276746138	4492.928571428571	844.0389686573984	
create_bus	3801661.166666667	68114.30889458182	3787541.8095238097	105505.60177527882	
register_callback_on_single_subscriber	226.5714285714286	11.790114618657805	228.7619047619048	14.006477283588891	
send_1000_messages_to_100_subscribers	696006330.4999999	5641867.180234805	693707898.7857144	2897230.884480062	
send_1000_messages_to_10_subscribers	81022162.78571431	939691.8539466754	80605464.61904763	703034.6022050187	
send_1000_messages_to_1_subscriber	80529088.21428573	5005686.6774781905	80879452.40476193	5437754.224247057	
send_100_messages_to_1000_subscribers	660127405.952381	4839525.839884606	657436010.9047617	2407455.8386612483	
send_100_messages_to_100_subscribers	69093909.47619046	1083637.8144354066	68918316.73809525	881084.1047614787	
send_100_messages_to_10_subscribers	8101215.928571429	278778.053813884	8042749.500000001	188708.4748818929	
send_100_messages_to_1_subscriber	2567065.7380952383	159896.6896313068	2487481.9047619044	232878.69490244729	
send_10_messages_to_1000_subscribers	69411281.9285714	748021.8409026568	69031786.92857142	770677.9883892399	
send_10_messages_to_100_subscribers	6438637.500000001	566211.3105144897	6445046.0476190485	536140.6503601613	
send_10_messages_to_10_subscribers	810656.3809523807	25610.13737895916	801711.6904761904	16935.669203092504	
send_10_messages_to_1_subscriber	166632.69047619042	4762.740645029294	166939.76190476192	4915.259121249352	
send_1_message_to_1000_subscribers	11058962.976190478	1341962.1649074426	10991006.833333334	1047762.5239103315	
send_1_message_to_100_subscribers	668025.8095238095	188049.7980856639	652461.5476190476	172539.19086898468	
send_1_message_to_10_subscribers	83368.76190476194	2519.259658912702	82630.35714285716	2916.323262680078	
send_1_message_to_1_subscriber	19968.285714285714	714.9831594991222	19818.238095238088	365.5777429874533	
