#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=40	
create_1000_subscribers	408281.375	129628.67809491225	402359.62499999977	145895.683202192	
create_100_subscribers	42295.600000000006	13335.921441355298	41277.925	13466.787047004755	
create_10_subscribers	4184.5250000000015	1324.0378391024176	4062.6249999999986	1373.412295843823	
create_bus	3678659.25	238754.00691860128	3694709.1750000003	231071.67982456088	
register_callback_on_single_subscriber	210.17499999999998	33.192534928805905	206.15000000000003	25.479943092558113	
send_1000_messages_to_100_subscribers	654528712.2500002	17822603.068673387	651831329.3749999	6113706.113243161	
send_1000_messages_to_10_subscribers	76349333.25000001	3538984.318051019	75638718.05000001	1120294.2852281034	
send_1000_messages_to_1_subscriber	73743377.42500001	4662642.615209871	72121408.69999999	4306452.077999825	
send_100_messages_to_1000_subscribers	626012250.4250001	23224590.62482192	622363800.6249998	6325236.966710863	
send_100_messages_to_100_subscribers	65198835.62499999	2145397.5078589483	64939244.974999994	1277359.1930044477	
send_100_messages_to_10_subscribers	7543379.8	169156.99739165392	7578202.275000001	237615.5067741779	
send_100_messages_to_1_subscriber	2199786.7750000004	220574.17106060806	2187725.900000001	202286.92695720604	
send_10_messages_to_1000_subscribers	66092710.825	1890605.9665108814	65859043.05	2813866.9003369715	
send_10_messages_to_100_subscribers	6172297.725	473795.60685505444	6398511.549999999	1096184.15895665	
send_10_messages_to_10_subscribers	748828.725	30419.789596566483	759462.675	45740.97762804568	
send_10_messages_to_1_subscriber	156414.47500000003	5532.727582248652	160146.50000000006	13073.099552133763	
send_1_message_to_1000_subscribers	10901398.774999999	1462271.5769880007	10937647.725000001	1622336.9748968459	
send_1_message_to_100_subscribers	813182.5749999998	193100.2491621758	854124.3750000001	225366.7501534651	
send_1_message_to_10_subscribers	77587.9	3370.382677085794	77262.47500000002	4493.681692039947	
send_1_message_to_1_subscriber	18056.775	2448.6996701055446	17463.825000000004	543.4727172315093	
