#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
parse_bareword	42713.71428571429	2500.53282213168	42262.19047619047	2504.665601081835	
parse_complex_nested_list	2452905.2857142854	91547.7695268811	2471075.1904761894	109505.70854009615	
parse_complex_tuple	154264.78571428574	9057.218906001139	155219.90476190476	9720.118892104354	
parse_complex_tuple_list	1470607.4047619044	54453.15300681667	1518287.9761904767	93190.44656802034	
parse_int	36066.95238095239	2156.141979515186	36656.666666666664	2576.098726911228	
parse_post_partial_float	37255.666666666664	2377.811215089031	37478.785714285725	2452.266993306925	
parse_pre_partial_float	36361.99999999999	1944.9035720986028	36662.09523809523	2250.933804208757	
parse_selector_symbol_head	56438.619047619046	2338.031080004233	56546.19047619048	3193.952196008182	
parse_selector_tuple_head	134567.3571428572	4681.800532871071	135648.28571428568	3527.88481945198	
parse_simple_list	350226.3095238095	17934.81693919094	370133.4523809523	20557.177454952296	
parse_simple_tuple	326027.3333333333	15044.14162463988	334564.73809523793	19843.497686431336	
parse_string	34454.33333333334	2159.2979532231416	34111.97619047618	2359.647446306689	
parse_whole_float	37578.19047619047	2381.7666936050723	38206.5238095238	2303.8359134495176	
