#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
rand_bytes_chacha	2314314.1428571427	115261.80669873167	2330656.119047619	137958.89107632622	
rand_bytes_isaac	944508.5714285712	44644.049216922445	943844.9285714286	45205.224763554375	
rand_bytes_isaac64	515546.90476190473	25428.103474782834	516071.4285714286	25494.417563685678	
rand_bytes_splitmix	318049.7857142858	18603.068247361414	317167.7380952382	17194.3146030745	
rand_bytes_xoroshiro128	427747.4761904762	23584.52047246456	427089.8333333334	22964.479640063455	
rand_bytes_xorshift	477017.6666666666	26438.780297191755	476477.4761904761	25803.22973715656	
rand_bytes_xorshift1024	465882.619047619	26768.26450602278	456439.47619047615	24913.505851663307	
rand_f64_chacha	1837446.047619047	89095.6493189716	1846204.80952381	101232.27526319714	
rand_f64_isaac	846259.8809523808	39823.38769534111	845804.0952380951	40253.75748554681	
rand_f64_isaac64	490338.0714285715	25103.326281583883	490078.5476190477	25052.28634010837	
rand_f64_splitmix	175221.97619047618	8919.580695590315	175069.69047619044	8959.38286960631	
rand_f64_xoroshiro128	179056.49999999994	9055.090339666624	178952.3333333333	9054.674272142714	
rand_f64_xorshift	270781.2380952381	13071.32050896437	270798.238095238	13223.75160515121	
rand_f64_xorshift1024	371183.35714285733	19972.665590777324	331760.3571428571	17742.75300593433	
rand_u64_chacha	1790716.3571428568	87825.83101116106	1796361.0714285718	96312.56610328509	
rand_u64_isaac	783906.1666666669	36753.364587746815	783265.8095238095	35628.062380148025	
rand_u64_isaac64	473235.61904761917	22565.531436191184	473060.2142857144	22861.53147865033	
rand_u64_splitmix	135490.7380952381	6842.2047061550065	135426.78571428568	6797.625995034395	
rand_u64_xoroshiro128	165378.69047619047	7762.149157743117	165233.76190476195	7524.141136905431	
rand_u64_xorshift	236772.57142857145	11073.195252592668	236574.8571428572	10750.496720686751	
rand_u64_xorshift1024	351372.76190476195	18319.025627563024	313009.59523809515	16075.046043123759	
