#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
cube<f32>	10336114.357142858	375480.14589492907	10323425.42857143	712549.1634322886	
cube<f64>	10153083.85714286	467822.6822010548	10277673.642857142	670379.0862791142	
cube_normals<f32>	6786011.738095238	250435.57389144253	6824965.333333335	458978.34936559375	
cube_normals<f64>	6755759.404761905	246950.56706392337	6706109.142857142	448042.56802215165	
hollow_cube<f32>	19855320.547619052	727660.8005172398	19696263.95238095	1299271.8204852643	
hollow_cube<f64>	21136646.690476187	834552.598987953	21250091.047619045	1396368.4202934098	
hollow_cube_normals<f32>	69948383.40476193	2415481.162825023	69779667.88095237	4559200.169728391	
hollow_cube_normals<f64>	72605333.6190476	2618242.570510144	73004407.23809524	4813035.740406285	
sphere<f32>	1032998.9523809523	31425.989091493757	1041074.8095238094	63626.76611310161	
sphere<f64>	1051451.738095238	34622.74203609634	1061160.2857142857	67396.69699914497	
sphere_normals<f32>	1189045.3095238095	35436.33540287635	1197716.523809524	69767.38393719452	
sphere_normals<f64>	4067041.952380952	156119.3554947399	4079248.4761904776	221494.29487216167	
twisted_cube<f32>	9544373.952380953	141051.9138378883	9565637.523809526	376562.9428745541	
twisted_cube<f64>	10513036.547619047	358849.7719964643	10487142.07142857	681443.6810130663	
twisted_cube_normals<f32>	12284654.047619049	176053.12000832136	12356743.619047621	486384.47072312736	
twisted_cube_normals<f64>	13666480.119047618	419841.89873163094	13888996.952380951	854907.8304552555	
