#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=36	
cube<f32>	6942630.52777778	82123.39264332196	6932839.11111111	86037.39076987198	
cube<f64>	7008325.777777778	85393.07692765754	7018775.722222222	81411.04083347361	
cube_normals<f32>	3734657.5833333335	22952.669422791423	3965133.111111111	10785.413526244545	
cube_normals<f64>	3812359.111111111	17610.88926674153	3995896.9166666665	7144.942218003663	
hollow_cube<f32>	15451525.02777778	161612.18807680145	15442771.249999998	363187.60035164683	
hollow_cube<f64>	16976476.277777776	268125.8626500095	16888864.749999996	433676.245184788	
hollow_cube_normals<f32>	55130196.3888889	209854.59192912042	54983402.250000015	359747.4966627732	
hollow_cube_normals<f64>	60161609.22222223	465291.1362243544	60550691.47222223	1979657.3833856324	
sphere<f32>	1026408.2222222222	305.31969684897604	1035111.6666666666	5122.657779143773	
sphere<f64>	1040649.7222222221	5169.822555578947	1034361.5833333334	11176.851301723276	
sphere_normals<f32>	1182607.75	62.70139773384464	1182534.638888889	774.209817698657	
sphere_normals<f64>	4037298.666666666	19377.13159313777	4039259.6944444445	19902.56080929655	
twisted_cube<f32>	7556539.111111112	97875.0643455948	7595849.194444445	193975.74004968585	
twisted_cube<f64>	8862962.055555562	382327.86458730133	8723195.999999998	62804.17720581968	
twisted_cube_normals<f32>	9429433.277777774	71059.11190520308	9445249.72222222	48746.898070892166	
twisted_cube_normals<f64>	10717429.444444444	46818.57456444945	10713269.83333333	135891.12379513812	
