#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
cube<f32>	6301002.690476189	26742.837225701864	6233572.738095239	56032.60897908318	
cube<f64>	6460344.642857145	14663.058262536646	6462840.809523811	22190.821575638296	
cube_normals<f32>	3677517.7857142864	58339.499083478804	3655669.8095238097	42084.34889386863	
cube_normals<f64>	3798082.047619047	124916.79659066639	3747041.8809523806	14758.565492302752	
hollow_cube<f32>	13380874.428571435	39532.9562150624	13415153.571428575	177716.25421027368	
hollow_cube<f64>	14665799.666666668	48585.649832056115	14663361.261904765	36384.84801335874	
hollow_cube_normals<f32>	47388740.428571425	268724.40676260047	47276893.95238096	236485.04268547325	
hollow_cube_normals<f64>	52914738.80952381	330864.7606703378	52821337.142857134	166807.80668632808	
sphere<f32>	1172662.119047619	1371.2511874784277	1173925.3809523808	1342.304325588773	
sphere<f64>	1176725.0476190478	354.1014753926951	1176736.261904762	550.896458144697	
sphere_normals<f32>	3262522.857142857	3030.0320018067114	3261840.7142857146	2002.396401050196	
sphere_normals<f64>	3568566.928571428	2401.241329702075	3568791.047619048	2286.7178595447667	
twisted_cube<f32>	6590985.166666666	107025.84620746807	6553025.357142857	17326.035330600327	
twisted_cube<f64>	9050919.595238097	50528.29573759332	9036611.857142856	33873.77110585671	
twisted_cube_normals<f32>	10105634.142857146	89593.17542769476	10006241.452380953	55474.031229637345	
twisted_cube_normals<f64>	12066484.738095237	14052.087436967071	12010490.642857144	17018.118466339154	
