#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
bench_exp_mod_circuit_base	601521.8571428572	38224.8684170842	600387.4285714285	40134.57987176387	
bench_exp_mod_circuit_rec	1575972.6428571434	39382.3038183283	1611404.5000000002	93589.70125073795	
bench_cidentity	37813.97619047619	24211.520897417824	35621.357142857145	10938.420743985347	
bench_cidentity_giant	3667167.3571428577	899455.04722412	4019411.357142856	1377850.2354373129	
bench_hadamard	45790.90476190476	24488.31257365879	42395.35714285714	9420.190706343346	
bench_hadamard_larger	289010.619047619	159349.11591652682	294487.0	155772.47950318898	
bench_identity	44056.214285714275	26946.111738709806	39264.16666666665	9796.772505261173	
bench_identity_deep_single_amp	3285570.9761904757	4488383.008925399	3078457.738095238	3047662.7749819714	
bench_apply_many_swaps_large	962327.3095238096	520192.9012397359	925341.0952380953	382074.3539307007	
bench_apply_many_swaps_large_multiops	166899.54761904763	88780.93419149406	161534.26190476195	68191.29250587556	
bench_apply_many_swaps_small	226060.23809523814	136888.2526967595	218841.14285714287	91521.34287579656	
bench_apply_many_swaps_small_multiops	52550.09523809524	18689.465243451134	53601.0238095238	23954.170349199754	
bench_apply_two_swaps_large	684354.8571428572	300348.7682108736	669255.1190476189	264710.44302085135	
bench_apply_two_swaps_large_multiops	1116465.3333333337	505022.61672398995	1102939.3809523806	474868.10246139235	
bench_apply_two_swaps_small	65845.85714285714	41869.998152200904	61007.88095238097	18766.594576790885	
bench_apply_two_swaps_small_multiops	37438.833333333336	23156.213494969405	34636.40476190475	10654.62212254677	
bench_cidentity	34523.2857142857	22083.952347786835	31912.595238095237	10758.76841522106	
bench_cidentity_giant	461472.3333333334	197052.18367498336	457473.0476190476	180200.69953314785	
bench_cidentity_giant_halfprec	470326.6428571429	203956.49025569172	468892.6904761905	190118.37963871827	
bench_cidentity_larger	75861.66666666666	43357.732302470555	73610.07142857142	32804.67973250221	
bench_hadamard	38134.69047619048	20719.108205537388	34642.52380952381	9711.01412544906	
bench_hadamard_larger	416145.5238095239	452601.01857597637	387848.9523809523	281170.5124736803	
bench_identity	33570.90476190476	21287.41577262595	31337.380952380958	9710.788237224031	
bench_identity_larger	332958.1428571429	387790.92358429503	309862.16666666674	255161.78744306302	
bench_identity_larger_sparse	116318.71428571426	35415.3948091758	115611.57142857142	31578.99262404771	
bench_identity_sparse	36187.80952380953	24104.674919270718	33356.90476190478	9631.329663456017	
