#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
rand_bytes_chacha	2726562.0	74030.23536881337	2629374.5714285714	79589.05878895395	
rand_bytes_isaac	931921.2380952381	21641.059132396498	943827.9999999999	4329.113381128596	
rand_bytes_isaac64	519487.9285714285	12128.197476076466	512179.238095238	2927.168913484933	
rand_bytes_splitmix	337509.0	8974.165399581601	336460.97619047615	2339.0698954121876	
rand_bytes_xoroshiro128	428492.40476190473	10063.662951571581	427402.4523809524	3134.9864676732386	
rand_bytes_xorshift	882799.3571428572	24286.68791336152	837510.8333333333	10888.600430237355	
rand_bytes_xorshift1024	465436.26190476195	12476.755826544631	451528.40476190473	3499.043618037607	
rand_f64_chacha	2293337.5714285714	88574.23061078497	2207980.095238095	84076.2201836636	
rand_f64_isaac	1154952.0476190476	26566.72839416177	1163616.8333333333	1083.04867139163	
rand_f64_isaac64	833420.1190476188	19247.86073110263	824998.2619047619	1452.5411404635772	
rand_f64_splitmix	469708.119047619	11039.175856062162	468225.3095238096	1537.646833686914	
rand_f64_xoroshiro128	469663.47619047615	10790.000572042212	468158.80952380947	1139.0514482735443	
rand_f64_xorshift	469896.5238095238	12247.100174245512	468790.8809523809	5092.186545989944	
rand_f64_xorshift1024	469708.6904761905	11026.75478635853	477232.9047619047	56082.91473125157	
rand_u64_chacha	2088202.4285714284	56510.13015260136	2001460.9761904762	49379.230721451	
rand_u64_isaac	763312.1428571428	17586.351460546834	773134.1666666669	977.8748560664519	
rand_u64_isaac64	472543.6904761906	10885.570806583704	465051.2142857143	543.1860391516443	
rand_u64_splitmix	134197.35714285716	3092.3544337409885	133755.2857142857	280.3953234541653	
rand_u64_xoroshiro128	164030.5952380952	3836.633724525681	163436.90476190476	10.548774525551757	
rand_u64_xorshift	354943.28571428574	9380.24183941898	354023.4523809524	3848.100447916638	
rand_u64_xorshift1024	347572.6904761905	7980.812443688792	310411.4285714286	1112.818240043786	
