#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
perft_01_chess_incremental	13760463.880952377	710407.8250169037	13401243.714285715	702943.721143832	
perft_01_shakmaty	38417158.64285714	1202009.1601550537	38680933.166666664	1731896.5582702477	
perft_02_chess_incremental	13804135.904761905	710578.0108245485	13417406.642857144	702962.1468182513	
perft_02_shakmaty	38585417.61904763	1182134.269282006	38778960.333333336	1758301.3100065896	
perft_03_chess_incremental	41361307.190476194	2183466.2038061703	39998444.404761896	2166035.112352511	
perft_03_shakmaty	111604651.26190478	3368498.0522639044	112153894.33333336	4980653.642995158	
perft_04_chess_incremental	41247091.57142856	2191473.4140601903	39934625.14285715	2140986.2545488854	
perft_04_shakmaty	111753636.71428573	3528811.6062272927	112444888.11904764	5004060.162042429	
perft_05_chess_incremental	21873094.92857143	1206208.3791185815	20878886.190476187	1167218.8780071822	
perft_05_shakmaty	60499318.07142856	1914700.2174370773	60800150.59523811	2704662.752028492	
perft_06_chess_incremental	21976590.61904763	1200653.114727047	20969108.92857143	1183030.1257568854	
perft_06_shakmaty	60491027.190476194	1818121.6435234316	60739399.85714286	2692882.011389591	
perft_07_chess_incremental	25714294.452380955	1412027.8780847208	24539146.071428575	1372672.624692036	
perft_07_shakmaty	71581249.80952379	2280089.6901600193	71940677.95238097	3203626.245592469	
perft_08_chess_incremental	25876433.26190477	1404873.2692631888	24730743.738095235	1398454.2223640229	
perft_08_shakmaty	71533181.26190478	2165250.7820222587	71855680.02380954	3188445.2174886228	
perft_09_chess_incremental	7123856.571428572	471882.6832914008	6851698.023809524	325890.0459049463	
perft_09_shakmaty	28566691.523809526	904152.8570407307	28705555.5	1291631.8828689845	
perft_10_chess_incremental	7131464.714285715	470684.75794134155	6868330.642857144	326070.41721834237	
perft_10_shakmaty	28522583.35714285	904711.8711646694	28621509.380952384	1287051.043173945	
perft_11_chess_incremental	11345489.214285713	795482.0477289687	10914009.619047623	546489.8964077994	
perft_11_shakmaty	43601362.523809515	1376819.541267936	43733695.21428571	1972845.3401760873	
perft_12_chess_incremental	11310941.904761905	793331.2710250247	10881945.73809524	544404.5728492237	
perft_12_shakmaty	43600804.47619047	1363749.0075743801	43757282.52380952	1974775.9941697938	
perft_13_chess_incremental	50886079.83333333	2716373.935756163	48998178.357142866	2716282.9693979817	
perft_13_shakmaty	154451820.4761905	4713705.151196286	155367875.85714287	7039120.352629899	
perft_14_chess_incremental	50695682.928571425	2725952.9257607753	48792883.547619045	2674814.6172112674	
perft_14_shakmaty	155948890.76190478	4888815.199491054	156604794.69047618	7029047.698317205	
perft_15_chess_incremental	7103009.380952381	404090.4940398606	6892752.976190477	463631.66678992513	
perft_15_shakmaty	25620820.76190477	818345.3508284353	25699540.904761903	1163444.338420148	
perft_16_chess_incremental	7077436.404761905	408721.64306303335	6885382.214285715	464400.9902467569	
perft_16_shakmaty	25681830.52380953	819686.0445691339	25765799.809523806	1146615.7483121536	
perft_17_chess_incremental	7356325.904761905	393952.50352457043	7051786.547619047	381778.73603406927	
perft_17_shakmaty	20459814.16666666	642899.0187649229	20562786.142857146	908571.9166646863	
perft_18_chess_incremental	7371891.071428572	391378.9183783039	7054657.976190477	387282.3319831528	
perft_18_shakmaty	20403498.404761907	612641.5275239734	20481588.238095243	907019.8817684631	
perft_19_chess_incremental	3477682.714285714	184328.42250196045	3338146.071428572	180803.33013662908	
perft_19_shakmaty	9771926.95238095	308397.31034571934	9806879.214285718	432410.45573850075	
perft_20_chess_incremental	3486024.166666667	182851.98001700413	3345035.571428572	184025.94342881098	
perft_20_shakmaty	9744218.071428576	291946.2202926449	9770943.714285713	430036.6384128154	
perft_21_chess_incremental	81284.66666666666	4400.186898988694	78349.21428571426	4179.817343558233	
perft_21_shakmaty	223286.40476190473	7134.221998693621	224397.1428571429	9876.859676781376	
perft_22_chess_incremental	81509.83333333334	4369.487252890733	78579.30952380954	4245.50386536883	
perft_22_shakmaty	222700.83333333334	6800.961283302835	223187.02380952385	9829.403064005015	
perft_23_chess_incremental	10351524.976190478	529013.1794996763	10039405.738095237	558492.0043805486	
perft_23_shakmaty	30045184.404761907	937433.4938537815	30166464.095238093	1377831.2711673062	
perft_24_chess_incremental	10366302.61904762	526164.8061562784	10063031.976190476	557600.8736975412	
perft_24_shakmaty	30101140.71428571	920654.3933589869	30257925.952380948	1393257.7501214116	
perft_25_chess_incremental	1182481.5238095238	86848.97339065865	1128949.142857143	61012.029510023465	
perft_25_shakmaty	3175838.904761905	97954.46285460296	3187341.642857143	141661.47524994754	
perft_26_chess_incremental	1183044.214285714	87110.60723354499	1129467.4047619046	60855.14102360485	
perft_26_shakmaty	3178332.3095238092	97112.76328516444	3190695.4285714286	142347.7920570973	
perft_kiwipete_chess_incremental	34880489.38095238	1786720.54503955	32183537.09523809	1463768.0271314268	
perft_kiwipete_shakmaty	94626738.97619049	2995473.879885352	94894264.2857143	4391693.187750502	
