#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
perft_01_chess_incremental	8862349.190476194	172943.34518305867	8897913.595238093	33098.23486809813	
perft_01_shakmaty	9037126.476190478	28479.723196419432	9022075.380952382	20529.71587370062	
perft_02_chess_incremental	8890725.04761905	174308.8822150075	8858030.952380957	60003.84235393454	
perft_02_shakmaty	9071875.785714287	28052.956079304993	9073501.19047619	25357.5863404098	
perft_03_chess_incremental	27749681.976190474	322952.3506722587	27511815.142857138	207605.7368065237	
perft_03_shakmaty	25795342.595238097	134548.07021267607	25867677.16666667	76924.3431310199	
perft_04_chess_incremental	27559602.45238095	194917.18762228498	27629408.30952381	158668.7435276472	
perft_04_shakmaty	25781670.119047623	169453.2512619564	25749477.19047619	109791.21974180036	
perft_05_chess_incremental	14822776.666666668	203960.0739224722	14504787.428571431	183012.71722753806	
perft_05_shakmaty	12798691.642857142	139647.06900250894	12764937.952380953	85593.52514757297	
perft_06_chess_incremental	14949409.095238091	240632.32081942633	14503699.690476188	213846.01839324084	
perft_06_shakmaty	12779985.761904761	108613.38600015883	12748040.595238097	48604.868286965975	
perft_07_chess_incremental	17548917.309523813	353754.1087548355	17166551.428571425	273640.95497038093	
perft_07_shakmaty	15075583.047619047	157842.25089263925	15034593.642857146	93659.43242377607	
perft_08_chess_incremental	17815462.90476191	299091.6998892774	17375565.261904765	271646.8436460471	
perft_08_shakmaty	15046228.523809524	128957.42324065135	15015362.547619049	46788.57764108996	
perft_09_chess_incremental	4211707.619047618	69469.59858334484	4193942.6904761908	18236.25611311825	
perft_09_shakmaty	8428953.380952379	49650.82638354734	8442885.476190474	55206.81791583618	
perft_10_chess_incremental	4154328.1666666674	56365.21358870907	4151038.071428572	14588.413849276249	
perft_10_shakmaty	8391400.119047621	24374.09524103738	8390679.476190474	31223.55104209008	
perft_11_chess_incremental	6758001.071428573	99973.39500167813	6702394.142857143	40077.6885077277	
perft_11_shakmaty	13128853.476190474	46490.39720673409	13095530.071428575	64538.05884769258	
perft_12_chess_incremental	6784849.380952381	135619.00535164366	6724270.833333333	44189.70862570383	
perft_12_shakmaty	13114813.904761903	79815.34817964869	13095093.476190476	102994.6200074913	
perft_13_chess_incremental	33405626.000000004	371228.73123991897	33102019.047619056	254030.00496238275	
perft_13_shakmaty	38326720.54761906	162751.27549616524	38331424.78571429	90659.37406067355	
perft_14_chess_incremental	32903869.595238097	537302.5696441375	32548176.666666668	191929.12675078123	
perft_14_shakmaty	38771297.0	218273.33610439653	38783725.52380951	148333.5937337315	
perft_15_chess_incremental	4489375.357142858	69664.56061586137	4493500.595238094	45225.09431144423	
perft_15_shakmaty	6766236.642857142	28453.270548326396	6716653.452380952	23620.259502427532	
perft_16_chess_incremental	4452939.142857144	65131.38299386767	4475940.000000001	43249.37726499104	
perft_16_shakmaty	6784069.11904762	26495.730621224513	6723452.38095238	23704.436621053494	
perft_17_chess_incremental	5174147.500000001	85180.78349387819	5026283.19047619	76157.03960965511	
perft_17_shakmaty	4566638.690476191	37628.44824666324	4556592.88095238	28568.659175832443	
perft_18_chess_incremental	5179251.166666668	82735.70775177129	5026478.9523809515	85247.66741759326	
perft_18_shakmaty	4539840.357142859	24240.286158358682	4536327.809523809	14880.771748160836	
perft_19_chess_incremental	2491184.595238095	47789.27428531552	2430281.3333333326	40616.43328791618	
perft_19_shakmaty	2382436.3571428563	19965.104835355476	2371793.0238095224	16131.494840378165	
perft_20_chess_incremental	2518283.1428571427	47065.49815066305	2447310.8095238092	43096.40817882738	
perft_20_shakmaty	2366515.095238095	10867.434052971825	2361212.880952382	6045.894164450154	
perft_21_chess_incremental	54969.261904761894	750.1380844162027	53771.380952380954	620.5345603506457	
perft_21_shakmaty	48209.95238095238	479.93307829028436	48086.69047619048	410.2110077285567	
perft_22_chess_incremental	55570.21428571428	696.1885532674896	54440.928571428565	721.6725742480235	
perft_22_shakmaty	48279.166666666664	206.20665970801355	48182.14285714287	195.13579782253368	
perft_23_chess_incremental	7355503.523809524	87067.30763288772	7275992.214285714	62214.963357293076	
perft_23_shakmaty	7265388.761904762	21563.967378155805	7255574.452380953	25878.63849108941	
perft_24_chess_incremental	7337702.833333335	124185.7280397306	7267095.642857145	57182.84248452978	
perft_24_shakmaty	7295714.5476190485	25848.448434786715	7280807.833333332	25518.437488474377	
perft_25_chess_incremental	797362.3095238096	11110.408407237943	765025.0714285714	4244.997764275911	
perft_25_shakmaty	813576.2857142858	4140.48396806411	807324.1666666669	8829.10834066894	
perft_26_chess_incremental	798861.0714285716	8243.229736874859	766186.8809523811	5136.809711254369	
perft_26_shakmaty	813543.3333333333	5099.951394103891	807027.4523809522	9819.620793770333	
perft_kiwipete_chess_incremental	17422320.40476191	408801.8250090925	17687913.42857143	41234.89752459615	
perft_kiwipete_shakmaty	30352097.500000007	136835.22517094543	30222919.16666666	206831.07337769022	
