#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
perft_01_chess_incremental	12494093.976190474	244050.2705079903	12541382.714285713	284271.00758575986	
perft_01_shakmaty	33626382.02380953	128230.92411729562	33661951.452380955	121324.59708374657	
perft_02_chess_incremental	12513549.97619048	244257.2937840136	12567627.738095237	285344.864173834	
perft_02_shakmaty	33610648.02380953	138166.23155813297	33586234.14285715	116658.59926697204	
perft_03_chess_incremental	37383171.23809524	806079.75074997	37534908.50000001	949055.8098968994	
perft_03_shakmaty	98559891.14285712	413578.0600975767	98500476.4047619	373145.6391515414	
perft_04_chess_incremental	37440383.42857143	798466.4009755006	37600844.571428575	940367.4954481547	
perft_04_shakmaty	99376360.80952379	397496.489874603	99478662.33333334	419109.4352664529	
perft_05_chess_incremental	20170198.619047623	512929.4263766633	20265957.380952377	585689.741429301	
perft_05_shakmaty	53375460.49999999	301136.42258825153	53390723.90476191	246563.88760336777	
perft_06_chess_incremental	20158022.76190476	530042.7234679074	20252592.023809522	593291.7084379033	
perft_06_shakmaty	53162550.69047619	254635.25741851752	53129747.07142859	206962.97497429143	
perft_07_chess_incremental	23733759.666666664	606223.6286616896	23847157.35714286	692183.7800070503	
perft_07_shakmaty	63229753.16666666	279465.2611509819	63276096.50000001	307087.4242582775	
perft_08_chess_incremental	23761791.30952381	622902.2644590894	23881676.0	700039.9959475445	
perft_08_shakmaty	62936320.61904763	277329.444173476	62945123.47619046	272990.5141386382	
perft_09_chess_incremental	6497334.785714285	108015.23992221692	6485469.761904763	83921.6161684477	
perft_09_shakmaty	25937006.095238093	119413.70182864067	25972412.47619048	165473.4995050262	
perft_10_chess_incremental	6501955.119047618	112842.9814384324	6496459.690476192	95042.29666850038	
perft_10_shakmaty	25566602.952380955	92898.18624759566	25611230.428571433	140782.92051073033	
perft_11_chess_incremental	10382393.833333334	224278.21650584717	10381873.952380953	179511.48932707985	
perft_11_shakmaty	38839660.714285724	158585.4719652534	38909095.99999999	211975.27267607237	
perft_12_chess_incremental	10374124.595238095	220363.17750748037	10352278.88095238	167295.99082510165	
perft_12_shakmaty	39097876.690476194	192781.49079543128	39149551.76190477	235512.80463064194	
perft_13_chess_incremental	46578381.33333335	1091664.7947120045	46840239.02380952	1287113.225012423	
perft_13_shakmaty	136640980.88095236	585431.2836350489	136620903.45238096	477943.388170219	
perft_14_chess_incremental	46597065.78571428	1074427.8897172504	46802802.14285715	1288043.405687915	
perft_14_shakmaty	137883315.0	634813.1864994013	137878822.40476188	662303.3618477714	
perft_15_chess_incremental	6483207.428571432	157608.61907950867	6477023.0	122231.18690747269	
perft_15_shakmaty	22216558.833333332	76447.90098271304	22231029.761904765	97278.49816299629	
perft_16_chess_incremental	6491140.666666666	160981.2342567955	6481564.500000002	115166.223941796	
perft_16_shakmaty	22210389.285714284	55558.10282907423	22227712.785714287	67873.8950661746	
perft_17_chess_incremental	6782125.523809524	161148.66790759485	6810433.499999999	183555.755793353	
perft_17_shakmaty	18145965.642857138	77936.07881182454	18164003.595238097	85838.67731391737	
perft_18_chess_incremental	6763488.833333334	163986.34571032005	6791238.476190475	188693.41059825546	
perft_18_shakmaty	18012929.357142854	78924.64544374	18006775.523809526	67144.71888258125	
perft_19_chess_incremental	3214032.5952380947	75668.69644489393	3228900.9285714286	86778.18464156399	
perft_19_shakmaty	8713245.476190476	36669.23445786159	8723760.785714284	44574.19706380198	
perft_20_chess_incremental	3202729.4761904767	77193.7421699571	3214833.7142857146	89398.85618030548	
perft_20_shakmaty	8615933.428571431	35030.2544069598	8615425.690476192	33390.35413215711	
perft_21_chess_incremental	74684.57142857142	1487.2112307597595	74911.0476190476	1693.5815521913619	
perft_21_shakmaty	195597.35714285713	881.6618189108397	195788.04761904766	1020.811697396709	
perft_22_chess_incremental	74737.02380952383	1509.2224186503843	74976.78571428568	1775.090561549095	
perft_22_shakmaty	193132.42857142855	852.9497317532605	193034.85714285716	648.863789779546	
perft_23_chess_incremental	9410234.07142857	111149.64503946765	9423622.404761905	111415.67717786774	
perft_23_shakmaty	26339237.809523813	68323.959546462	26376606.57142858	121809.80205361199	
perft_24_chess_incremental	9425448.0	107772.10969426356	9430853.619047623	110400.10757326375	
perft_24_shakmaty	26491774.42857142	63179.087936460375	26531493.023809526	109090.96083249323	
perft_25_chess_incremental	1073963.023809524	29815.35955756785	1070442.5238095233	22188.844354162356	
perft_25_shakmaty	2807462.1666666674	10291.498567163895	2810074.547619047	10128.986883955942	
perft_26_chess_incremental	1076148.0714285718	29456.142974318096	1072207.9047619046	22061.15338349238	
perft_26_shakmaty	2829516.0	7566.778785617839	2830237.2142857136	8747.969493751418	
perft_kiwipete_chess_incremental	32420699.07142857	250859.97658695816	32379679.928571425	181999.6512757508	
perft_kiwipete_shakmaty	83933595.57142854	441744.4687340743	84021850.6428572	519533.5519833803	
