#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
cube<f32>	9209003.333333332	56688.73799957208	9250061.833333336	691941.2301200468	
cube<f64>	9245515.95238095	76253.2717221436	9286086.571428575	533886.7322422802	
cube_normals<f32>	6435996.809523812	14274.365879065632	6306911.023809525	25886.36030761419	
cube_normals<f64>	6286260.1190476185	12702.771465880944	6453382.88095238	65645.71819431738	
hollow_cube<f32>	16896084.499999996	106582.09099724605	17081575.523809526	1254164.525536693	
hollow_cube<f64>	17767423.42857143	103188.7960126031	17824140.23809523	412986.13026115805	
hollow_cube_normals<f32>	58180485.0952381	557836.6661048651	58741709.833333336	3076591.3945879485	
hollow_cube_normals<f64>	61565981.99999999	218782.3374247739	61640701.19047619	1142312.3030528333	
sphere<f32>	936732.7142857143	1332.6275921350748	937492.5714285716	1275.1407605373115	
sphere<f64>	987630.4999999998	2902.1064701843234	988340.3095238095	2592.1295849450494	
sphere_normals<f32>	848119.5476190477	123.64103232860623	845057.9523809524	167.32716063092462	
sphere_normals<f64>	3275281.142857143	15770.4673113287	3276700.7619047617	18263.523581444442	
twisted_cube<f32>	7620925.238095242	24515.8813976821	7639260.476190477	242997.94447526053	
twisted_cube<f64>	9203357.92857143	60799.754426741245	9197865.142857138	140675.9775408539	
twisted_cube_normals<f32>	10761415.80952381	18891.89472742981	10599558.952380951	22410.307941778745	
twisted_cube_normals<f64>	12585035.976190474	16904.921877663597	12439559.880952379	33632.4979589982	
