#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
aaforest_big_random_append	21137142.166666668	413235.8906381103	20916291.404761903	222416.92920440456	
aatree_big_random_insert_delete	17223235.547619056	377480.6700953424	17152749.166666668	201469.55589580568	
btreemap_big_random_insert_delete	5600608.30952381	201170.12587637975	5548651.714285714	65851.41340974561	
dynconn_big_insert_delete	21144014.380952377	417650.66698292666	20718609.78571428	217460.6214289465	
dynconn_big_insert_delete_ext_weight	25925407.80952381	513374.2036963568	25359747.309523806	318552.6903493875	
hashmap_big_random_insert_delete	1060350.214285714	24694.35992820234	1071732.857142857	57391.29422763047	
waaforest_big_random_append	35202955.92857142	737682.4361921597	34529925.428571425	361795.48279223155	
waaforest_big_random_append_bitboard_weight	38707486.19047618	1338640.2408999505	38265358.690476194	1310345.2211307213	
waaforest_big_random_append_combined_weight	38190810.9047619	868582.0961100039	37602324.21428571	441636.4369903164	
waaforest_big_random_append_empty_weight	35670715.99999999	697990.8254517119	34422752.690476194	342789.9637771744	
waaforest_big_random_append_usize_2_weight	36457457.023809515	851646.4843278434	36653265.85714286	620686.5062913564	
waaforest_big_random_append_usize_bool_weight	37131043.47619048	755465.753334144	35492930.92857141	368476.2121614852	
