#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
aaforest_big_random_append	5095737.738095238	196449.5130556764	4764245.357142856	236354.80352818858	
aatree_big_random_insert_delete	5555443.285714285	10340.177905086719	4870362.452380953	9975.95119274916	
btreemap_big_random_insert_delete	2113581.857142858	8436.485497588461	2055234.3333333333	5405.54186379773	
dynconn_big_insert_delete	6405541.452380953	43922.011665267826	5905708.595238096	82791.58399949654	
dynconn_big_insert_delete_ext_weight	7280829.928571427	68285.99853222122	6664164.1190476185	62930.55943248739	
hashmap_big_random_insert_delete	553611.0952380953	1609.4145313706001	524943.7857142856	1552.7493977383701	
waaforest_big_random_append	6775783.142857142	56002.095483146	5532081.119047619	82945.70720721403	
waaforest_big_random_append_bitboard_weight	7447220.738095237	97051.29637907977	6774223.261904763	143127.51777748993	
waaforest_big_random_append_combined_weight	7486828.238095239	159323.39895600925	6928436.833333333	111620.17472766347	
waaforest_big_random_append_empty_weight	7650654.071428572	33117.11099833212	6791611.547619047	32802.17045678996	
waaforest_big_random_append_usize_2_weight	6684608.476190476	79962.27342769603	5991583.69047619	66707.51455795241	
waaforest_big_random_append_usize_bool_weight	6642320.333333334	52375.08197273579	6084808.714285714	56828.579155832755	
