#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
create_1000_subscribers	338693.3095238096	13159.74144790176	344321.14285714284	12073.452373604123	
create_100_subscribers	35428.7380952381	575.5066943271985	35620.690476190466	557.6569387516563	
create_10_subscribers	3558.166666666667	138.99022176409298	3570.9285714285716	197.28519275128474	
create_bus	3613753.476190476	31530.641252928264	3609850.1428571423	29196.785484814223	
register_callback_on_single_subscriber	320.7380952380953	13.051289890292587	321.8095238095238	14.251546441131179	
send_1000_messages_to_100_subscribers	1092889241.238095	2263774.3002431733	1092304734.1904764	3131386.6105774264	
send_1000_messages_to_10_subscribers	122218074.95238096	318097.1018961971	122102007.14285713	473838.26273647684	
send_1000_messages_to_1_subscriber	25998489.857142854	1039917.3143053837	26227807.285714287	1199613.4704519713	
send_100_messages_to_1000_subscribers	1075561691.0	3103132.2880243496	1075551713.0476193	2631835.5765779843	
send_100_messages_to_100_subscribers	110547392.09523809	452166.410751133	110562067.23809524	399052.067440949	
send_100_messages_to_10_subscribers	13171552.809523812	154679.1854010897	13119897.714285716	168792.0778822962	
send_100_messages_to_1_subscriber	2685093.6904761908	20141.376432475292	2681997.761904762	27545.86530706086	
send_10_messages_to_1000_subscribers	110772155.26190476	1773597.9802780915	111034774.7142857	932044.8993310172	
send_10_messages_to_100_subscribers	11039369.857142858	752143.6264933704	10790400.19047619	1064031.6056980826	
send_10_messages_to_10_subscribers	1412385.214285714	13834.349382426122	1406197.3809523808	15914.61879314317	
send_10_messages_to_1_subscriber	275412.619047619	2246.105242333313	275192.9047619048	2245.8514538665436	
send_1_message_to_1000_subscribers	14323069.857142858	606007.5233229202	14111318.666666668	593305.024537474	
send_1_message_to_100_subscribers	1341244.0714285714	145375.3094634372	1372086.9285714286	136607.75495406598	
send_1_message_to_10_subscribers	150182.16666666663	1228.6626085120174	150145.78571428577	1214.2820637200027	
send_1_message_to_1_subscriber	30804.76190476191	250.09939067382692	30887.023809523802	242.2963050339534	
