#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=42	
parse_bareword	31961.785714285714	2990.8242735129083	31358.54761904762	3140.3571468285554	
parse_complex_nested_list	1943100.4285714286	122022.66904967617	1929737.4999999998	102611.88134775714	
parse_complex_tuple	128573.21428571432	9020.37777831979	128483.33333333334	6326.291144959555	
parse_complex_tuple_list	1193181.7619047624	91938.43640300298	1170637.4285714286	77725.36764701693	
parse_int	27502.95238095238	2374.2588011578023	27596.690476190477	2083.946239230882	
parse_post_partial_float	29091.880952380954	2380.156919620667	28950.714285714286	2148.001011857019	
parse_pre_partial_float	28357.78571428572	2492.9089484997653	28206.428571428572	2168.5924131615348	
parse_selector_symbol_head	44462.16666666668	3426.619831878381	43830.92857142857	2908.7601383608458	
parse_selector_tuple_head	108439.2619047619	4972.721972155518	106783.54761904759	3869.195155648566	
parse_simple_list	288092.7142857143	22022.177197938785	289555.57142857136	20755.952933972436	
parse_simple_tuple	264155.38095238095	19635.992564617973	263155.9285714286	17506.730995864556	
parse_string	25795.095238095237	2314.36338885915	25340.928571428572	1893.9639508921264	
parse_whole_float	29046.5	2397.468389483254	28398.785714285717	2085.152096036508	
