#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=40	
parse_bareword	29288.95	2462.104901806582	29349.024999999998	2212.5389543180927	
parse_complex_nested_list	1688418.2	58225.9303275611	1683405.2000000002	63861.60881437297	
parse_complex_tuple	107103.625	6030.58993667908	106941.35	7394.202602546133	
parse_complex_tuple_list	1032955.2249999999	50280.00895161391	1021677.95	55966.78352109848	
parse_int	24354.0	1741.2321930173468	24557.65	1723.6641138864616	
parse_post_partial_float	25312.475	1968.7140852279692	25196.475	2209.066080807679	
parse_pre_partial_float	25590.95	1846.1498307288064	25422.999999999996	1826.4653705997273	
parse_selector_symbol_head	38190.7	2631.515297314458	37918.075000000004	2524.8948729353065	
parse_selector_tuple_head	93852.775	2204.149739553781	93153.04999999997	2726.3006982906345	
parse_simple_list	261567.19999999998	10803.979561254271	260090.52499999994	12868.128912136954	
parse_simple_tuple	228739.12500000003	12923.291229767088	229645.575	14219.160414538372	
parse_string	21647.350000000002	1460.913952804887	21689.625000000004	1329.1809449337588	
parse_whole_float	26148.150000000005	1592.2266884774917	26971.774999999998	809.12154487135	
