#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=40	
rand_bytes_chacha	2630664.6750000003	157497.63537183462	2601143.55	30724.171310183454	
rand_bytes_isaac	942029.3249999998	55132.35460706694	932875.1749999999	13158.771247513007	
rand_bytes_isaac64	516397.17499999993	30324.677535703082	511424.75	9370.627686419943	
rand_bytes_splitmix	269396.8249999999	15922.098492170402	266806.85000000003	5341.314587954916	
rand_bytes_xoroshiro128	222237.65000000002	13613.862043061112	220169.375	4533.131906791926	
rand_bytes_xorshift	355154.29999999993	21008.98334784432	307714.10000000003	5737.900364244747	
rand_bytes_xorshift1024	465046.39999999997	27850.8486762971	455153.75000000006	9711.07688866173	
rand_f64_chacha	2023930.3249999997	118636.35142387587	2000799.775	22931.871544302157	
rand_f64_isaac	827494.1749999999	48553.524062568045	836248.325	12793.52593382196	
rand_f64_isaac64	505181.62500000006	29487.5575249015	479921.37500000006	8360.00190696001	
rand_f64_splitmix	175027.82499999998	10327.015887679026	173323.40000000008	3242.3914692707913	
rand_f64_xoroshiro128	178912.65000000005	10525.20455276286	177167.1	3084.395433468284	
rand_f64_xorshift	270776.4999999999	15866.688688885275	268070.5749999999	3913.7968195059625	
rand_f64_xorshift1024	370530.5250000001	22366.90309697288	329921.025	6680.687616134659	
rand_u64_chacha	2000302.8749999998	113912.51448242806	1980459.1749999998	24697.659423402354	
rand_u64_isaac	783491.1999999998	45604.10884185765	776105.8749999999	11222.698860317647	
rand_u64_isaac64	473205.7	27643.87557597523	468616.94999999995	7409.398619152569	
rand_u64_splitmix	135416.975	7961.9871655495035	134077.9	2319.974588222897	
rand_u64_xoroshiro128	165364.07499999998	9630.172881074099	163778.125	2201.918654123035	
rand_u64_xorshift	236768.625	13797.626175700478	234506.94999999998	3202.4448312968643	
rand_u64_xorshift1024	350620.67500000005	20736.014605496763	309957.9750000001	6120.233898665558	
